sl no,name,link,quantity,total price (INR),total price (USD)
1,battery 6s 1100mah,https://rcmumbai.com/products/cnhl-black-series-1100mah-22-2v-6s-100c-lipo-battery-xt60,1,1977,23.72
2,battery cahgrer modules,https://www.flyrobo.in/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c,7,126,1.51
3,5v power supplies for the charger modules,https://quartzcomponents.com/products/5v-2a-circuit-switch-power-supply-module-smps-pcb?_pos=7&_sid=50e2d2390&_ss=r,6,552,6.62
4,servo motors,https://flyrobo.in/mg90s_metal_gear_micro_servo_for_rc_model?search=MG90S&description=true,4,820,9.84
5,esc,https://www.flyrobo.in/readytosky-80a-2-6s-brushless-esc?search=esc+80a&description=true,1,1870,22.44
6,motor,https://www.drkstore.in/t-motor-f80-pro-1900kv-2200kv-2500kv/,1,2500,30
7,transmitter ELRS,https://rcmumbai.com/products/radiomaster-pocket?variant=50865323180313,1,6300,75.6
8,ELRS reciver,https://www.drkstore.in/geprc-elrs-nano-915m-v2-receiver/,1,1499,17.99
9,flight controller,https://rcmumbai.com/products/speedybee-f405-wing-app-fixed-wing-flight-controller?_pos=15&_sid=48e2d33ca&_ss=r,1,4063,48.76
10,GPS,https://www.drkstore.in/tbs-m10q-gps-glonass/,1,1799,21.59
11,foam,https://www.vortex-rc.com/product/5mm-depron-30x20-10-sheet-pack-now-in-india/,1,1660,19.92
12,carbon fiber rod,https://www.vortex-rc.com/product/25x22x1000mm-3k-cf-tube-carbon-fiber-tube-3k-roll-wrapped/,1,2465,29.58
13,carbon fiber spar,https://www.vortex-rc.com/product/5x1000mm-cf-rod-2-pcs-carbon-fiber-rods/,1,999,11.99
14,rod holder for carbon fiber,https://www.vortex-rc.com/product/aluminum-c-clamps-for-carbon-fiber-rods-and-tubes-in-multiple-sizes/,1,219,2.63
15,"glue, brown paper, 16awg wires, solder, screws",-,-,500,6
16,fpv camera,https://www.drkstore.in/caddx-ant-lite-1200tvl-fpv-camera/,1,1599,19.19
17,vtx,https://www.drkstore.in/iflight-blitz-force-5-8ghz-600mw-adjustable-vtx/,1,3599,43.19
18,vrx,https://rcmumbai.com/products/rc-805-5-8ghz-8-channel-av-receiver?variant=50743316775193&country=IN&currency=INR,1,2000,24
19,shipping flyrobo,shipping costs on fly robo,1,100,1.2
20,shipping quartz components,shipping costs on quartz components,1,50,0.6
21,shipping rc mumbai,shipping costs on rc mumbai,1,150,1.8
,TOTAL,,,,418.17
